date,product,company,unit_cost,price,competitor_price,promo,sales,revenue,day_of_week,month
2020-05-01,Dominos,Dominos,214.38,357.3,389.55,0,0,0.0,4,5
2020-05-04,Dominos,Dominos,215.46,359.1,310.51,0,0,0.0,0,5
2020-05-05,Dominos,Dominos,222.88,371.46,341.88,0,0,0.0,1,5
2020-05-06,Dominos,Dominos,223.38,372.3,385.91,1,50,0.0,2,5
2020-05-07,Dominos,Dominos,220.3,367.17,406.62,0,0,0.0,3,5
2020-05-08,Dominos,Dominos,221.47,369.11,314.24,0,0,0.0,4,5
2020-05-11,Dominos,Dominos,226.49,377.49,379.15,0,0,0.0,0,5
2020-05-12,Dominos,Dominos,226.76,377.94,398.04,0,0,0.0,1,5
2020-05-13,Dominos,Dominos,230.98,384.96,330.64,0,0,0.0,2,5
2020-05-14,Dominos,Dominos,225.61,376.01,364.88,0,0,0.0,3,5
2020-05-15,Dominos,Dominos,225.62,376.04,420.67,0,0,0.0,4,5
2020-05-18,Dominos,Dominos,218.7,364.5,383.27,0,0,0.0,0,5
2020-05-19,Dominos,Dominos,222.01,370.01,340.89,0,0,0.0,1,5
2020-05-20,Dominos,Dominos,226.34,377.24,417.16,1,50,0.0,2,5
2020-05-21,Dominos,Dominos,225.14,375.24,358.13,0,0,0.0,3,5
2020-05-22,Dominos,Dominos,223.26,372.1,411.54,0,0,0.0,4,5
2020-05-26,Dominos,Dominos,216.1,360.16,338.44,0,0,0.0,1,5
2020-05-27,Dominos,Dominos,224.38,373.97,384.1,0,0,0.0,2,5
2020-05-28,Dominos,Dominos,219.33,365.55,354.25,1,20,0.0,3,5
2020-05-29,Dominos,Dominos,231.5,385.84,359.78,0,0,0.0,4,5
2020-06-01,Dominos,Dominos,230.15,383.58,428.06,0,0,0.0,0,6
2020-06-02,Dominos,Dominos,230.92,384.86,348.79,0,0,0.0,1,6
2020-06-03,Dominos,Dominos,234.08,390.14,341.55,0,0,0.0,2,6
2020-06-04,Dominos,Dominos,229.67,382.78,364.63,0,0,0.0,3,6
2020-06-05,Dominos,Dominos,225.85,376.41,400.99,1,50,0.0,4,6
2020-06-08,Dominos,Dominos,225.49,375.82,410.48,0,0,0.0,0,6
2020-06-09,Dominos,Dominos,229.33,382.22,439.41,0,0,0.0,1,6
2020-06-10,Dominos,Dominos,235.39,392.32,368.35,1,20,0.0,2,6
2020-06-11,Dominos,Dominos,229.67,382.79,372.22,0,0,0.0,3,6
2020-06-12,Dominos,Dominos,226.89,378.15,336.95,0,0,0.0,4,6
2020-06-15,Dominos,Dominos,226.75,377.92,386.41,0,0,0.0,0,6
2020-06-16,Dominos,Dominos,224.92,374.86,430.82,0,0,0.0,1,6
2020-06-17,Dominos,Dominos,228.4,380.67,403.61,0,0,0.0,2,6
2020-06-18,Dominos,Dominos,225.33,375.55,386.28,0,0,0.0,3,6
2020-06-19,Dominos,Dominos,227.05,378.41,366.19,0,0,0.0,4,6
2020-06-22,Dominos,Dominos,230.78,384.63,432.55,0,0,0.0,0,6
2020-06-23,Dominos,Dominos,226.53,377.55,377.2,0,0,0.0,1,6
2020-06-24,Dominos,Dominos,225.29,375.48,334.29,0,0,0.0,2,6
2020-06-25,Dominos,Dominos,224.22,373.7,358.61,0,0,0.0,3,6
2020-06-26,Dominos,Dominos,219.49,365.81,318.31,1,20,0.0,4,6
2020-06-29,Dominos,Dominos,221.5,369.17,336.16,0,0,0.0,0,6
2020-06-30,Dominos,Dominos,221.66,369.44,315.98,0,0,0.0,1,6
2020-07-01,Dominos,Dominos,225.43,375.71,370.44,0,0,0.0,2,7
2020-07-02,Dominos,Dominos,224.45,374.09,389.19,0,0,0.0,3,7
2020-07-06,Dominos,Dominos,231.0,385.0,366.9,0,0,0.0,0,7
2020-07-07,Dominos,Dominos,228.68,381.14,372.04,0,0,0.0,1,7
2020-07-08,Dominos,Dominos,230.48,384.14,437.06,0,0,0.0,2,7
2020-07-09,Dominos,Dominos,231.3,385.5,414.64,0,0,0.0,3,7
2020-07-10,Dominos,Dominos,238.99,398.31,403.19,0,0,0.0,4,7
2020-07-13,Dominos,Dominos,240.83,401.38,375.44,0,0,0.0,0,7
2020-07-14,Dominos,Dominos,241.38,402.3,450.21,0,0,0.0,1,7
2020-07-15,Dominos,Dominos,248.21,413.68,380.8,1,20,0.0,2,7
2020-07-16,Dominos,Dominos,244.51,407.52,386.17,0,0,0.0,3,7
2020-07-17,Dominos,Dominos,234.13,390.22,438.11,0,0,0.0,4,7
2020-07-20,Dominos,Dominos,234.86,391.43,394.9,0,0,0.0,0,7
2020-07-21,Dominos,Dominos,232.69,387.81,416.0,0,0,0.0,1,7
2020-07-22,Dominos,Dominos,233.47,389.12,399.71,0,0,0.0,2,7
2020-07-23,Dominos,Dominos,228.79,381.32,398.87,0,0,0.0,3,7
2020-07-24,Dominos,Dominos,232.15,386.91,363.62,0,0,0.0,4,7
2020-07-27,Dominos,Dominos,233.77,389.61,359.38,0,0,0.0,0,7
2020-07-28,Dominos,Dominos,231.25,385.42,364.9,0,0,0.0,1,7
2020-07-29,Dominos,Dominos,231.09,385.15,345.34,0,0,0.0,2,7
2020-07-30,Dominos,Dominos,230.72,384.53,427.71,0,0,0.0,3,7
2020-07-31,Dominos,Dominos,231.97,386.61,361.47,0,0,0.0,4,7
2020-08-03,Dominos,Dominos,232.22,387.03,394.17,0,0,0.0,0,8
2020-08-04,Dominos,Dominos,235.12,391.86,426.18,0,0,0.0,1,8
2020-08-05,Dominos,Dominos,236.06,393.44,426.94,0,0,0.0,2,8
2020-08-06,Dominos,Dominos,235.53,392.55,385.29,0,0,0.0,3,8
2020-08-07,Dominos,Dominos,233.47,389.12,386.35,1,20,0.0,4,8
2020-08-10,Dominos,Dominos,231.56,385.93,443.21,0,0,0.0,0,8
2020-08-11,Dominos,Dominos,233.19,388.65,409.01,0,0,0.0,1,8
2020-08-12,Dominos,Dominos,235.6,392.67,429.73,0,0,0.0,2,8
2020-08-13,Dominos,Dominos,239.42,399.04,447.23,0,0,0.0,3,8
2020-08-14,Dominos,Dominos,239.39,398.99,433.41,0,0,0.0,4,8
2020-08-17,Dominos,Dominos,245.63,409.39,370.72,0,0,0.0,0,8
2020-08-18,Dominos,Dominos,246.87,411.45,419.12,0,0,0.0,1,8
2020-08-19,Dominos,Dominos,248.54,414.23,364.76,0,0,0.0,2,8
2020-08-20,Dominos,Dominos,251.0,418.33,437.52,0,0,0.0,3,8
2020-08-21,Dominos,Dominos,251.82,419.7,477.03,0,0,0.0,4,8
2020-08-24,Dominos,Dominos,251.39,418.99,420.59,0,0,0.0,0,8
2020-08-25,Dominos,Dominos,251.62,419.36,410.93,0,0,0.0,1,8
2020-08-26,Dominos,Dominos,250.85,418.09,359.87,0,0,0.0,2,8
2020-08-27,Dominos,Dominos,249.79,416.32,473.74,0,0,0.0,3,8
2020-08-28,Dominos,Dominos,249.59,415.98,366.44,0,0,0.0,4,8
2020-08-31,Dominos,Dominos,245.38,408.96,352.66,0,0,0.0,0,8
2020-09-01,Dominos,Dominos,246.09,410.15,378.9,0,0,0.0,1,9
2020-09-02,Dominos,Dominos,242.16,403.6,350.99,0,0,0.0,2,9
2020-09-03,Dominos,Dominos,238.5,397.5,392.15,0,0,0.0,3,9
2020-09-04,Dominos,Dominos,229.09,381.81,383.65,0,0,0.0,4,9
2020-09-08,Dominos,Dominos,225.79,376.32,355.16,0,0,0.0,1,9
2020-09-09,Dominos,Dominos,229.24,382.07,330.6,1,20,0.0,2,9
2020-09-10,Dominos,Dominos,233.38,388.97,343.65,0,0,0.0,3,9
2020-09-11,Dominos,Dominos,236.81,394.68,381.0,0,0,0.0,4,9
2020-09-14,Dominos,Dominos,233.11,388.52,337.3,1,20,0.0,0,9
2020-09-15,Dominos,Dominos,233.71,389.52,412.68,0,0,0.0,1,9
2020-09-16,Dominos,Dominos,231.59,385.98,352.05,0,0,0.0,2,9
2020-09-17,Dominos,Dominos,237.04,395.07,371.61,0,0,0.0,3,9
2020-09-18,Dominos,Dominos,238.55,397.59,384.96,0,0,0.0,4,9
2020-09-21,Dominos,Dominos,242.98,404.97,394.84,0,0,0.0,0,9
2020-09-22,Dominos,Dominos,248.25,413.75,351.89,0,0,0.0,1,9
2020-09-23,Dominos,Dominos,248.12,413.54,365.41,0,0,0.0,2,9
2020-09-24,Dominos,Dominos,247.98,413.3,458.28,0,0,0.0,3,9
2020-09-25,Dominos,Dominos,250.85,418.08,355.52,1,20,0.0,4,9
2020-09-28,Dominos,Dominos,252.92,421.54,422.57,1,50,0.0,0,9
2020-09-29,Dominos,Dominos,254.08,423.46,422.13,0,0,0.0,1,9
2020-09-30,Dominos,Dominos,255.17,425.28,403.99,0,0,0.0,2,9
2020-10-01,Dominos,Dominos,256.19,426.99,418.19,0,0,0.0,3,10
2020-10-02,Dominos,Dominos,260.27,433.78,470.29,0,0,0.0,4,10
2020-10-05,Dominos,Dominos,254.96,424.94,468.44,0,0,0.0,0,10
2020-10-06,Dominos,Dominos,256.52,427.53,396.79,0,0,0.0,1,10
2020-10-07,Dominos,Dominos,258.63,431.05,408.1,0,0,0.0,2,10
2020-10-08,Dominos,Dominos,240.61,401.01,370.03,0,0,0.0,3,10
2020-10-09,Dominos,Dominos,234.57,390.95,388.59,0,0,0.0,4,10
2020-10-12,Dominos,Dominos,235.55,392.58,414.16,0,0,0.0,0,10
2020-10-13,Dominos,Dominos,244.63,407.72,374.48,0,0,0.0,1,10
2020-10-14,Dominos,Dominos,241.93,403.21,382.74,0,0,0.0,2,10
2020-10-15,Dominos,Dominos,241.1,401.84,453.72,0,0,0.0,3,10
2020-10-16,Dominos,Dominos,239.67,399.45,345.35,0,0,0.0,4,10
2020-10-19,Dominos,Dominos,236.93,394.89,390.24,0,0,0.0,0,10
2020-10-20,Dominos,Dominos,236.65,394.41,419.44,0,0,0.0,1,10
2020-10-21,Dominos,Dominos,233.97,389.95,349.06,0,0,0.0,2,10
2020-10-22,Dominos,Dominos,235.04,391.74,338.55,1,20,0.0,3,10
2020-10-23,Dominos,Dominos,236.46,394.1,351.33,1,20,0.0,4,10
2020-10-26,Dominos,Dominos,236.77,394.61,444.19,0,0,0.0,0,10
2020-10-27,Dominos,Dominos,238.22,397.03,338.58,0,0,0.0,1,10
2020-10-28,Dominos,Dominos,230.4,384.0,348.09,0,0,0.0,2,10
2020-10-29,Dominos,Dominos,232.03,386.72,332.34,0,0,0.0,3,10
2020-10-30,Dominos,Dominos,226.99,378.32,334.13,0,0,0.0,4,10
2020-11-02,Dominos,Dominos,225.62,376.03,389.58,0,0,0.0,0,11
2020-11-03,Dominos,Dominos,229.94,383.24,353.54,0,0,0.0,1,11
2020-11-04,Dominos,Dominos,235.51,392.52,400.67,0,0,0.0,2,11
2020-11-05,Dominos,Dominos,237.73,396.22,406.94,0,0,0.0,3,11
2020-11-06,Dominos,Dominos,239.91,399.85,441.77,1,50,0.0,4,11
2020-11-09,Dominos,Dominos,225.93,376.55,320.6,1,20,0.0,0,11
2020-11-10,Dominos,Dominos,229.0,381.67,422.13,1,50,0.0,1,11
2020-11-11,Dominos,Dominos,236.8,394.67,408.77,0,0,0.0,2,11
2020-11-12,Dominos,Dominos,234.33,390.55,351.04,1,20,0.0,3,11
2020-11-13,Dominos,Dominos,233.76,389.6,421.5,0,0,0.0,4,11
2020-11-16,Dominos,Dominos,230.89,384.82,425.86,0,0,0.0,0,11
2020-11-17,Dominos,Dominos,230.68,384.47,356.13,0,0,0.0,1,11
2020-11-18,Dominos,Dominos,229.48,382.46,430.51,0,0,0.0,2,11
2020-11-19,Dominos,Dominos,231.02,385.04,379.78,0,0,0.0,3,11
2020-11-20,Dominos,Dominos,233.74,389.56,401.65,0,0,0.0,4,11
2020-11-23,Dominos,Dominos,232.33,387.21,443.51,0,0,0.0,0,11
2020-11-24,Dominos,Dominos,229.88,383.13,367.22,1,20,0.0,1,11
2020-11-25,Dominos,Dominos,230.06,383.44,419.46,0,0,0.0,2,11
2020-11-27,Dominos,Dominos,234.28,390.47,369.2,0,0,0.0,4,11
2020-11-30,Dominos,Dominos,235.54,392.57,427.81,0,0,0.0,0,11
2020-12-01,Dominos,Dominos,235.05,391.75,403.59,0,0,0.0,1,12
2020-12-02,Dominos,Dominos,232.7,387.83,354.83,0,0,0.0,2,12
2020-12-03,Dominos,Dominos,230.03,383.38,373.49,1,20,0.0,3,12
2020-12-04,Dominos,Dominos,229.79,382.99,362.04,0,0,0.0,4,12
2020-12-07,Dominos,Dominos,230.73,384.55,335.88,0,0,0.0,0,12
2020-12-08,Dominos,Dominos,232.01,386.69,332.15,1,20,0.0,1,12
2020-12-09,Dominos,Dominos,230.98,384.97,367.24,0,0,0.0,2,12
2020-12-10,Dominos,Dominos,231.63,386.05,330.35,1,20,0.0,3,12
2020-12-11,Dominos,Dominos,230.02,383.37,344.9,0,0,0.0,4,12
2020-12-14,Dominos,Dominos,229.94,383.23,409.12,1,50,0.0,0,12
2020-12-15,Dominos,Dominos,230.81,384.68,408.69,0,0,0.0,1,12
2020-12-16,Dominos,Dominos,229.51,382.52,409.9,0,0,0.0,2,12
2020-12-17,Dominos,Dominos,237.1,395.16,373.48,0,0,0.0,3,12
2020-12-18,Dominos,Dominos,238.03,396.71,443.13,0,0,0.0,4,12
2020-12-21,Dominos,Dominos,238.31,397.18,408.36,0,0,0.0,0,12
2020-12-22,Dominos,Dominos,239.23,398.72,353.99,0,0,0.0,1,12
2020-12-23,Dominos,Dominos,242.25,403.75,360.6,0,0,0.0,2,12
2020-12-24,Dominos,Dominos,238.04,396.73,419.71,0,0,0.0,3,12
2020-12-28,Dominos,Dominos,240.11,400.18,360.92,0,0,0.0,0,12
2020-12-29,Dominos,Dominos,230.62,384.36,385.2,0,0,0.0,1,12
2020-12-30,Dominos,Dominos,230.77,384.62,441.36,0,0,0.0,2,12
2020-12-31,Dominos,Dominos,230.08,383.46,326.4,0,0,0.0,3,12
2021-01-04,Dominos,Dominos,227.7,379.5,324.46,0,0,0.0,0,1
2021-01-05,Dominos,Dominos,228.8,381.34,437.75,0,0,0.0,1,1
2021-01-06,Dominos,Dominos,230.92,384.87,394.64,0,0,0.0,2,1
2021-01-07,Dominos,Dominos,229.91,383.19,340.3,0,0,0.0,3,1
2021-01-08,Dominos,Dominos,233.3,388.83,435.17,0,0,0.0,4,1
2021-01-11,Dominos,Dominos,234.32,390.54,435.11,0,0,0.0,0,1
2021-01-12,Dominos,Dominos,231.3,385.5,389.69,0,0,0.0,1,1
2021-01-13,Dominos,Dominos,229.12,381.86,395.81,0,0,0.0,2,1
2021-01-14,Dominos,Dominos,224.28,373.8,348.37,0,0,0.0,3,1
2021-01-15,Dominos,Dominos,225.14,375.23,324.63,0,0,0.0,4,1
2021-01-19,Dominos,Dominos,223.59,372.65,383.22,0,0,0.0,1,1
2021-01-20,Dominos,Dominos,227.4,379.0,355.66,0,0,0.0,2,1
2021-01-21,Dominos,Dominos,228.67,381.12,399.83,0,0,0.0,3,1
2021-01-22,Dominos,Dominos,228.22,380.37,418.74,0,0,0.0,4,1
2021-01-25,Dominos,Dominos,227.09,378.49,323.78,0,0,0.0,0,1
2021-01-26,Dominos,Dominos,227.3,378.84,389.72,0,0,0.0,1,1
2021-01-27,Dominos,Dominos,226.15,376.91,346.53,0,0,0.0,2,1
2021-01-28,Dominos,Dominos,222.96,371.6,413.28,0,0,0.0,3,1
2021-01-29,Dominos,Dominos,222.46,370.76,343.36,0,0,0.0,4,1
2021-02-01,Dominos,Dominos,222.85,371.42,383.76,0,0,0.0,0,2
2021-02-02,Dominos,Dominos,226.33,377.22,383.28,0,0,0.0,1,2
2021-02-03,Dominos,Dominos,224.0,373.33,361.7,0,0,0.0,2,2
2021-02-04,Dominos,Dominos,223.8,373.0,392.88,0,0,0.0,3,2
2021-02-05,Dominos,Dominos,226.34,377.23,402.78,0,0,0.0,4,2
2021-02-08,Dominos,Dominos,228.04,380.06,387.69,0,0,0.0,0,2
2021-02-09,Dominos,Dominos,229.78,382.96,412.65,0,0,0.0,1,2
2021-02-10,Dominos,Dominos,229.24,382.06,437.47,0,0,0.0,2,2
2021-02-11,Dominos,Dominos,231.12,385.2,375.87,0,0,0.0,3,2
2021-02-12,Dominos,Dominos,231.1,385.17,386.86,0,0,0.0,4,2
2021-02-16,Dominos,Dominos,226.75,377.92,322.65,0,0,0.0,1,2
2021-02-17,Dominos,Dominos,225.89,376.49,409.93,1,50,0.0,2,2
