date,product,price,sales,wheat_price,sugar_price,unit_cost,promo
2025-05-26,C,5.62,265,186.32,91.54,2.73,0
2025-05-27,A,5.57,292,191.55,94.73,2.76,0
2025-05-28,A,5.45,284,188.91,98.03,2.75,0
2025-05-29,B,5.54,305,191.34,97.45,2.76,0
2025-05-30,A,5.65,276,189.63,94.12,2.75,0
2025-05-31,C,5.62,359,188.43,94.78,2.74,1
2025-06-01,A,5.52,246,189.4,95.99,2.75,0
2025-06-02,B,5.43,271,189.17,98.11,2.75,0
2025-06-03,A,5.28,298,190.56,97.65,2.76,0
2025-06-04,A,5.42,398,190.06,99.04,2.76,1
2025-06-05,B,5.26,308,190.48,99.76,2.76,0
2025-06-06,A,5.23,338,188.61,99.12,2.75,0
2025-06-07,A,5.18,302,190.05,100.2,2.76,0
2025-06-08,A,5.18,308,195.28,101.25,2.78,0
2025-06-09,C,5.12,325,190.94,101.22,2.77,0
2025-06-10,A,5.13,324,190.5,102.94,2.77,0
2025-06-11,A,5.03,390,193.62,106.21,2.79,0
2025-06-12,B,5.08,313,196.1,104.18,2.79,0
2025-06-13,A,5.28,326,190.73,103.62,2.77,0
2025-06-14,C,5.09,296,193.58,100.63,2.78,0
2025-06-15,A,5.08,340,193.1,105.25,2.78,0
2025-06-16,A,5.15,335,191.22,101.03,2.77,0
2025-06-17,A,5.18,257,196.59,102.53,2.79,0
2025-06-18,A,5.05,418,195.46,107.46,2.8,1
2025-06-19,A,5.14,345,196.04,107.54,2.8,0
2025-06-20,B,5.25,328,194.79,106.17,2.79,0
2025-06-21,A,5.22,312,197.6,103.36,2.8,0
2025-06-22,C,5.24,279,196.02,106.32,2.8,0
2025-06-23,A,5.39,285,197.22,105.95,2.8,0
2025-06-24,A,5.25,317,195.7,108.79,2.8,0
2025-06-25,A,5.34,416,195.9,112.21,2.81,1
2025-06-26,A,5.33,338,201.42,108.26,2.82,0
2025-06-27,A,5.54,339,198.15,106.36,2.81,1
2025-06-28,A,5.3,303,200.16,105.64,2.81,0
2025-06-29,A,5.45,239,199.93,107.89,2.82,0
2025-06-30,C,5.5,288,199.54,107.63,2.81,0
2025-07-01,B,5.64,263,199.82,105.62,2.81,0
2025-07-02,A,5.67,260,202.51,108.06,2.83,0
2025-07-03,A,5.77,287,201.07,105.39,2.82,0
2025-07-04,B,5.57,260,201.78,109.74,2.83,0
2025-07-05,C,5.8,225,202.54,109.43,2.83,0
2025-07-06,A,5.74,202,205.26,109.23,2.84,0
2025-07-07,B,5.74,244,204.67,105.84,2.83,0
2025-07-08,C,5.87,263,204.47,107.5,2.83,0
2025-07-09,B,5.77,409,202.98,105.86,2.82,1
2025-07-10,A,5.7,280,201.73,104.98,2.82,0
2025-07-11,A,5.85,287,206.78,104.67,2.84,0
2025-07-12,A,5.77,250,207.19,102.33,2.83,0
2025-07-13,A,5.85,230,205.35,101.59,2.82,0
2025-07-14,A,5.93,244,207.08,105.59,2.84,0
2025-07-15,C,5.92,273,207.92,103.12,2.84,0
2025-07-16,A,6.02,356,208.37,103.43,2.84,1
2025-07-17,C,5.86,264,208.9,104.48,2.84,0
2025-07-18,A,5.74,265,206.48,98.47,2.82,0
2025-07-19,A,5.79,251,210.74,99.82,2.84,0
